Year Deployed,Parks,Species,D_Sex,Deployment code,Name of individual,Brand,SAT ID,Date Deployed,Time Deployed,VHF,VHF Fine Tune,SN,GPS X,GPS Y,Vial#,Body Length,Horn Length,Neck Circ,Group Size,State,Immobility?,Reason,Reasons,Date Last Fix,Last Fix X,Last Fix Y,Date Deactivated,To deactive with AWT,In inactive collar group ER?,To Check?,Comments
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,6682_2,White-eared Kob 6682,,6682,15-Apr-2023,10:31,,,,7.040400,34.050601,,,,,,Deactivated,,,,,,,,,Yes,,Collar redeployed
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,6683_1,White-eared Kob 6683,AWT,6683,30-Mar-2023,9:05, 149.140 ,,s/n 20228,7.6471,33.51491,126,,,,,Redeployed,,Natural mortality?,,,5.844681,33.63245,9-Apr-2025,,,y,Animal likely predated on; collar recovered 15 April.
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,6683_2,White-eared Kob 6683,,6683,15-Apr-2023,9:48,,,,6.971070,33.528930,65,143,,25,,Deactivated,,,,,,,,,Yes,,Collar redeployed
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6684,AWT,6684,22-Mar-2023,8:57, 149.160 ,,s/n 20229,6.149065,32.905450,117,,,25,,Deactivated,,,,,,,16-Aug-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6685,AWT,6685,22-Mar-2023,7:47, 149.200 ,,s/n 20230,6.053889,32.742251,131,,,26,,Deactivated,,,,,,,21-Jun-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6686,AWT,6686,22-Mar-2023,11:52, 149.220 ,,s/n 20231,6.149557,32.904598,118,,,,,Deactivated,,Poached,,,5.070613,33.246287,24-Nov-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6687,AWT,6687,25-Mar-2023,8:33, 149.240 ,,s/n 20232,06.15208,33.50147,93,,,27,,Deactivated,,,,,,,5-Apr-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6688,AWT,6688,24-Mar-2023,6:40, 149.260 ,,s/n 20233,06.53678,34.07342,100,,,26.5,,Active,,,,,,,,,No- active,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6689,AWT,6689,22-Mar-2023,8:30, 149.280 ,,s/n 20234,6.104996,32.757598,119,,,25,,Deactivated,,,,,,,11-Jan-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6690,AWT,6690,19-Mar-2023,7:30, 149.300 ,,s/n 20235,5.291173,32.483384,195,138,,28,,Deactivated,,,,,,,22-Jan-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,6692_1,White-eared Kob 6692,AWT,6692,22-Mar-2023,9:38, 149.340 ,,s/n 20237,6.189077,32.870177,109,,,28.5,,Deactivated,,Poached - collar collected,,,,,17-Sep-2024,,Yes,,Animal likely poached; collar recovered 8 April
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,6692_2,Double entry?,,6692,16-Apr-2023,9:00,,,,8.280401,32.600073,76,140,,27,,Deactivated,,Possibly poached,,,6.976475,32.244418,,,Yes,y,Collar redeployed
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6693,AWT,6693,22-Mar-2023,7:35, 149.360 ,,s/n 20238,6.072636,32.730360,147,,,26,,Active,,,,,,,,,No- active,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6694,AWT,6694,25-Mar-2023,7:30, 149.390 ,,s/n 20239,06.17286,33.57917,89,,,26.5,,Active,,,,,,,,,No- active,,32 cm neck at base
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6695,AWT,6695,9-Apr-2023,8:27, 149.430 ,,s/n 20240,7.344135,31.630272,,,,,,Deactivated,,Possible natural mortality,,,7.106803,32.206427,1-Aug-2025,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6696,AWT,6696,31-Mar-2023,9:10, 149.450 ,,s/n 20241,07.359981,33.27047,32,133,,29,,Active,,,,,,,,,No- active,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6697,AWT,6697,9-Apr-2023,7:40, 149.480 ,,s/n 20242,7.174408,31.479437,11,,,24,,Deactivated,,Natural mortality?,,,,,22-Jan-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6698,AWT,6698,25-Mar-2023,7:07, 149.500 ,,s/n 20243,06.16347,33.60239,94,,,27.5,,Active,,,,,,,,,No- active,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6699,AWT,6699,4-Apr-2023,10:00, 149.520 ,,s/n 20244,6.897223,34.278402,71,,,,,Deactivated,,Natural mortality?,,,6.645447,33.817168,9-Apr-2025,,Yes,y,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6700,AWT,6700,20-Mar-2023,10:55, 149.550 ,,s/n 20245,6.147250,32.701134,169,135,,27,1000+,Active,,,,,,,,,No- active,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6701,AWT,6701,15-Apr-2023,8:32, 149.570 ,,s/n 20246,7.657050,33.469120,64,,,,,Active,,,,,,,5-Jul-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6702,AWT,6702,22-Mar-2023,7:05, 149.600 ,,s/n 20247,6.064045,32.745089,160,,,26,3000+,Deactivated,,Natural mortality - collar collected,,,,,17-Sep-2024,,Yes,,Massive group of many thousands over the area 
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6703,AWT,6703,4-Apr-2023,10:49, 149.620 ,,s/n 20248,6.591528,34.533363,79,,,,,Active,,,,,,,,,No- active,,"Thin, poor condition"
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6704,AWT,6704,23-Mar-2023,8:33, 149.640 ,,s/n 20249,06.115371,32.158265,144,,,,,Active,,,,,,,,,No- active,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6705,AWT,6705,23-Mar-2023,6:57, 149.670 ,,s/n 20250,06.08778,32.71858,136,,,,,Deactivated,,Poached,,8-Mar-2025,,,4-Sep-2025,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6707,AWT,6707,16-Apr-2023,8:24, 149.717,,s/n 20252,8.432221,32.711701,74,135,,25,,Deactivated,,,,10-Aug-2024,,,12-Sep-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6708,AWT,6708,16-Apr-2023,7:41, 149.740 ,,s/n 20253,8.411228,32.669241,7,134,,25.5,,Deactivated,,,,18-Aug-2024,,,19-Sep-2024,,Yes,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6709,AWT,6709,30-Mar-2023,6:45, 149.770 ,,s/n 20254,7.4727,33.646063,123,,,26,,Active,,,,,,,,,No- active,,
2023,"Badingilo & Boma, South Sudan",White-eared Kob,Male,,White-eared Kob 6710,AWT,6710,31-Mar-2023,9:50, 149.870 ,,s/n 20255,07.26108,33.49933,29,,,,,Deactivated,,,,,,,25-Apr-2024,,Yes,,Animal in poor condition with corneal ulcer on right eye
2023,"Badingilo & Boma, South Sudan",Tiang,Male,,Tiang 6717,AWT,6717,9-Apr-2023,8:53, 150.250 ,,s/n 20290,7.420173,31.697122,28,,,48.5,,Deactivated,,,,4-Oct-2023,7.415005,31.693337,5-Jun-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",Tiang,Male,,Tiang 6718,AWT,6718,23-Mar-2023,7:55, 150.270 ,,s/n 20291,06.104206,032.201164,113,,,,100k+,Deactivated,,Collar failure?,,6-Feb-2025,6.760045,32.311838,8-Aug-2025,,Yes,,
2023,"Badingilo & Boma, South Sudan",Tiang,Male,,Tiang 6719,AWT,6719,23-Mar-2023,11:12, 150.300 ,,s/n 20292,06.083010,032.143535,129,,,,,Deactivated,,,,27-Jul-2023,6.009137,32.209003,16-Aug-2023,,Yes,,
2023,"Badingilo & Boma, South Sudan",Tiang,Male,,Tiang 6720,AWT,6720,9-Apr-2023,8:04, 150.360 ,,s/n 20293,7.345478,31.630635,98,167,39.5,49,,Deactivated,,Natural mortality?,,31-Jul-2024,6.106743,32.502302,28-Nov-2025,,Yes,Y,
2023,"Badingilo & Boma, South Sudan",Tiang,Male,,Tiang 6711,AWT,6711,16-Mar-2023,11:05, 150.000 ,,s/n 20284,05.146121,32.649376,181,164,44.5,46.5,,Deactivated,,Possibly poached,,15-Jul-2025,4.887945,32.568292,8-Aug-2025,,Yes,y,
